,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Libc,28.6,55.6,92.7,151,208,367,425,471,432,423,422,410,316,282,156,102,103,104,105,105,106,106,106,106
Iter.,71.4,103,106,106,106,106,106,107,106,106,106,103,79.2,52.4,48,33,33,33.2,33.6,33.9,34,34.2,34.2,34.2
256,n/a,n/a,n/a,n/a,n/a,n/a,n/a,107,106,106,105,103,88.3,56,44.7,33.7,32.4,33.5,33.7,33.9,34,33.9,34.1,34.2
128,n/a,n/a,n/a,n/a,n/a,n/a,106,106,106,106,105,104,88.7,56.5,44.8,32.7,32.5,33,33.7,33.9,34,34.1,34.2,34.2
64,n/a,n/a,n/a,n/a,n/a,106,106,107,106,106,105,104,87.9,76.4,41.1,33.8,32.2,33.2,33.7,33.8,34.1,34.2,34.1,34.2
32,n/a,n/a,n/a,n/a,106,106,106,107,106,106,105,104,86.8,80.5,41.5,33.7,32.1,33.2,33.5,33.9,34.1,34.2,34.2,34.1
16,n/a,n/a,n/a,106,106,106,106,108,107,106,105,104,85.6,56.9,45.8,33.7,33.4,33.2,33.7,34,34.2,34.2,34.2,34.2
8,n/a,n/a,106,106,106,106,106,112,106,106,106,103,83.5,74.7,45.6,33.7,32.4,33.1,33.8,33.8,33.7,34.1,34.2,34.1
4,n/a,106,102,106,106,106,106,106,108,106,106,101,72.5,66.3,43.4,33.5,32.5,33.4,33.6,33.9,34.1,34.1,34.2,34.2
2,90.4,65.7,74.6,80.1,83.1,84.7,85.3,88.2,86.1,86.3,86.2,80,59.1,54.7,40.5,32.7,32.9,33.4,33.6,33.9,34,34.1,34.1,34.1
1,34.6,39.5,42.4,43.9,45,45.4,45.5,45.6,45.7,45.7,45.7,43.6,37.1,35.7,30.6,26.2,26.2,26.3,26.4,26.5,26.6,26.6,26.6,26.6
