,1,2,3,8,16,32,64,128,256,Iter.
Timer,19.4,20.9,22,22.4,22.7,22.8,22.8,22.8,22.7,22.9
Level,17.7,18.9,19.7,20.2,20.4,20.3,20.4,20.4,20.4,20.5
Event,17.7,18.9,19.8,20.1,20.3,20.4,20.4,20.4,20.3,20.5
