,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Libc,43.3,86.7,144,228,419,423,424,425,426,425,424,428,422,421,422,422,415,417,414,417,415,416,414,416
Iter.,100,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
256,n/a,n/a,n/a,n/a,n/a,n/a,n/a,106,106,106,107,106,106,106,106,106,106,106,106,106,106,105,106,106
128,n/a,n/a,n/a,n/a,n/a,n/a,106,106,106,106,106,107,106,106,106,106,106,106,106,106,106,106,106,106
64,n/a,n/a,n/a,n/a,n/a,106,106,106,106,106,107,106,106,106,106,106,105,106,106,106,106,106,106,106
32,n/a,n/a,n/a,n/a,106,106,106,106,106,106,107,106,106,106,106,106,106,106,106,106,106,106,106,106
16,n/a,n/a,n/a,106,106,106,106,106,106,106,107,106,106,106,106,106,106,106,106,106,106,106,106,106
8,n/a,n/a,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,105,106,106
4,n/a,106,106,106,106,106,106,106,106,106,107,106,107,106,106,106,106,106,106,105,106,106,106,106
2,106,81,91.2,98,102,103,104,105,105,105,105,106,105,105,105,105,105,105,105,105,105,105,105,105
1,40.9,46.2,49.4,51.2,52.2,52.7,52.7,53,53.1,53.2,53.2,53.2,53.2,53.2,53,53.2,53.4,53.4,53.4,53.4,53.4,53.3,53.2,53.2
