,1,2,3,8,16,32,64,128,256,Iter.
Timer,12.4,13.3,13.5,13.7,13.7,13.7,13.8,13.8,13.8,13.5
Level,11.6,12,12.2,12.3,12.4,12.4,12.4,12.4,12.4,12.4
Event,11.6,12,12.2,12.3,12.3,12.4,12.4,12.4,12.4,12.4
