,1,2,4,8,16,32,64,128,256,Iter.
Poke,82.8,82.6,82.8,82.6,82.8,83.2,83.2,82.7,82.5,82.8
Peek,11.6,12,12.2,12.3,12.3,12.4,12.4,12.4,12.4,12.4
Copy,9.83,9.95,9.96,9.96,9.96,9.96,9.91,9.95,9.94,9.96
