,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Iter.,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.2,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.2,15.2,15.3,15.2
256,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15.2,15.2,15.2,15.2,15.1,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2
128,n/a,n/a,n/a,n/a,n/a,n/a,15.3,15.2,15.2,15.2,15.2,15.2,15.3,15.3,15.2,15.3,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2
64,n/a,n/a,n/a,n/a,n/a,15.3,15.2,15.3,15.2,15.3,15.3,15.2,15.2,15.3,15.3,15.3,15.3,15.2,15.2,15.2,15.2,15.3,15.2,15.3
32,n/a,n/a,n/a,n/a,15.2,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.2,15.3,15.3,15.2,15.2,15.2,15.2,15.3,15.2,15.2,15.3,15.2
16,n/a,n/a,n/a,15.3,15.1,15.2,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.2,15.2,15.2,15.3,15.2,15.2,15.2
8,n/a,n/a,15.3,15.2,15.2,15.2,15.2,15.2,15.3,15.3,15.3,15.2,15.3,15.3,15.3,15.3,15.3,15.3,15.2,15.2,15.2,15.3,15.2,15.3
4,n/a,15.3,15.1,15.2,15.2,15.3,15.2,15.3,15.3,15.3,15.3,15.3,15.2,15.2,15.3,15.2,15.2,15.2,15.3,15.2,15.2,15.2,15.3,15.2
2,15.3,15,15,15.1,15.2,15.2,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.3
1,14.2,14.6,14.9,15.1,15.2,15.2,15.2,15.2,15.2,15.2,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.2,15.2,15.2,15.3,15.2,15.2
